ROCKET MAGES NET LOG
[1.9653716087341309]: Server class initialised.
[3.0535833835601807]: Sent character data
[3.0595850944519043]: Sent character data
[3.0755887031555176]: Sent character data
[3.0935909748077393]: Sent character data
[3.1085944175720215]: Sent character data
[3.1255974769592285]: Sent character data
[3.1426002979278564]: Sent character data
[3.159604072570801]: Sent character data
[3.176607370376587]: Sent character data
[3.19360613822937]: Sent character data
[3.2106101512908936]: Sent character data
[3.2266132831573486]: Sent character data
[3.244614601135254]: Sent character data
[3.2626194953918457]: Sent character data
[3.2776217460632324]: Sent character data
[3.294996500015259]: Sent character data
[3.3129262924194336]: Sent character data
[3.3299267292022705]: Sent character data
[3.3469293117523193]: Sent character data
[3.3649332523345947]: Sent character data
[3.3829360008239746]: Sent character data
[3.3989388942718506]: Sent character data
[3.414940118789673]: Sent character data
[3.4329440593719482]: Sent character data
[3.4489502906799316]: Sent character data
[3.465952157974243]: Sent character data
[3.482954740524292]: Sent character data
[3.499958038330078]: Sent character data
[3.516960859298706]: Sent character data
[3.5339651107788086]: Sent character data
[3.549966812133789]: Sent character data
[3.5669703483581543]: Sent character data
[3.5839762687683105]: Sent character data
[3.6010501384735107]: Sent character data
[3.617978572845459]: Sent character data
[3.635981798171997]: Sent character data
[3.652986764907837]: Sent character data
[3.671071767807007]: Sent character data
[3.689075231552124]: Sent character data
[3.705996036529541]: Sent character data
[3.723076105117798]: Sent character data
[3.7400057315826416]: Sent character data
[3.7570855617523193]: Sent character data
[3.7740108966827393]: Sent character data
[3.7911901473999023]: Sent character data
[3.8071916103363037]: Sent character data
[3.824117660522461]: Sent character data
[3.8411996364593506]: Sent character data
[3.859123706817627]: Sent character data
[3.877128839492798]: Sent character data
[3.8931312561035156]: Sent character data
[3.9101364612579346]: Sent character data
[3.927137613296509]: Sent character data
[3.945140838623047]: Sent character data
[3.9611434936523438]: Sent character data
[3.9791462421417236]: Sent character data
[3.9951488971710205]: Sent character data
[4.013153314590454]: Sent character data
[4.029157876968384]: Sent character data
[4.046160459518433]: Sent character data
[4.063162803649902]: Sent character data
[4.080168008804321]: Sent character data
[4.0971691608428955]: Sent character data
[4.113177299499512]: Sent character data
[4.130181312561035]: Sent character data
[4.147180795669556]: Sent character data
[4.165185928344727]: Sent character data
[4.1871888637542725]: Sent character data
[4.200191020965576]: Sent character data
[4.216192960739136]: Sent character data
[4.233197927474976]: Sent character data
[4.249197959899902]: Sent character data
[4.266206502914429]: Sent character data
[4.283205270767212]: Sent character data
[4.301210641860962]: Sent character data
[4.317213535308838]: Sent character data
[4.334215879440308]: Sent character data
[4.3512187004089355]: Sent character data
[4.36922287940979]: Sent character data
[4.3842246532440186]: Sent character data
[4.401227235794067]: Sent character data
[4.418232679367065]: Sent character data
[4.435239791870117]: Sent character data
[4.453239440917969]: Sent character data
[4.470243692398071]: Sent character data
[4.487245082855225]: Sent character data
[4.50424861907959]: Sent character data
[4.522252082824707]: Sent character data
[4.5402562618255615]: Sent character data
[4.556259393692017]: Sent character data
[4.573262453079224]: Sent character data
[4.591265916824341]: Sent character data
[4.60826849937439]: Sent character data
[4.62527322769165]: Sent character data
[4.642276287078857]: Sent character data
[4.66028094291687]: Sent character data
[4.675282001495361]: Sent character data
[4.6913580894470215]: Sent character data
[4.709289073944092]: Sent character data
[4.726293325424194]: Sent character data
[4.743296384811401]: Sent character data
[4.760298728942871]: Sent character data
[4.777322769165039]: Sent character data
[4.795304536819458]: Sent character data
[4.812305212020874]: Sent character data
[4.829308986663818]: Sent character data
[4.845312595367432]: Sent character data
[4.862314224243164]: Sent character data
[4.879318714141846]: Sent character data
[4.896322011947632]: Sent character data
[4.9153265953063965]: Sent character data
[4.9303297996521]: Sent character data
[4.946331739425659]: Sent character data
[4.964334011077881]: Sent character data
[4.981338262557983]: Sent character data
[4.997342109680176]: Sent character data
[5.015344619750977]: Sent character data
[5.032348871231079]: Sent character data
[5.049352407455444]: Sent character data
[5.066355228424072]: Sent character data
[5.083358526229858]: Sent character data
[5.100361347198486]: Sent character data
[5.116364002227783]: Sent character data
[5.133440971374512]: Sent character data
[5.151372671127319]: Sent character data
[5.168375015258789]: Sent character data
[5.185381174087524]: Sent character data
[5.201380491256714]: Sent character data
[5.219387531280518]: Sent character data
[5.2354652881622314]: Sent character data
[5.252470970153809]: Sent character data
[5.269394397735596]: Sent character data
[5.286512851715088]: Sent character data
[5.304520130157471]: Sent character data
[5.320599317550659]: Sent character data
[5.338526010513306]: Sent character data
[5.355598449707031]: Sent character data
[5.3725340366363525]: Sent character data
[5.389809608459473]: Sent character data
[5.406891345977783]: Sent character data
[5.422893047332764]: Sent character data
[5.439830541610718]: Sent character data
[5.455829858779907]: Sent character data
[5.47290301322937]: Sent character data
[5.491147518157959]: Sent character data
[5.508241891860962]: Sent character data
[5.524242639541626]: Sent character data
[5.542249441146851]: Sent character data
[5.560251235961914]: Sent character data
[5.575253963470459]: Sent character data
[5.592258930206299]: Sent character data
[5.6082603931427]: Sent character data
[5.626264810562134]: Sent character data
[5.643269300460815]: Sent character data
[5.661271572113037]: Sent character data
[5.677276134490967]: Sent character data
[5.695281505584717]: Sent character data
[5.7113587856292725]: Sent character data
[5.728471040725708]: Sent character data
[5.745474815368652]: Sent character data
[5.762561559677124]: Sent character data
[5.779484272003174]: Sent character data
[5.795483827590942]: Sent character data
[5.813490629196167]: Sent character data
[5.829490900039673]: Sent character data
[5.846495628356934]: Sent character data
[5.863576412200928]: Sent character data
[5.8805012702941895]: Sent character data
[5.897505283355713]: Sent character data
[5.91450834274292]: Sent character data
[5.93151068687439]: Sent character data
[5.948594808578491]: Sent character data
[5.966517210006714]: Sent character data
[5.982598781585693]: Sent character data
[5.999523401260376]: Sent character data
[6.016525983810425]: Sent character data
[6.033610105514526]: Sent character data
[6.050533056259155]: Sent character data
[6.067535638809204]: Sent character data
[6.084538459777832]: Sent character data
[6.101622104644775]: Sent character data
[6.1185455322265625]: Sent character data
[6.135629415512085]: Sent character data
[6.152633428573608]: Sent character data
[6.169557571411133]: Sent character data
[6.187559604644775]: Sent character data
[6.203641653060913]: Sent character data
[6.220565319061279]: Sent character data
[6.23757004737854]: Sent character data
[6.254571199417114]: Sent character data
[6.272576093673706]: Sent character data
[6.288578748703003]: Sent character data
[6.305661916732788]: Sent character data
[6.322587251663208]: Sent character data
[6.339592456817627]: Sent character data
[6.355669260025024]: Sent character data
[6.3726723194122314]: Sent character data
[6.3896026611328125]: Sent character data
[6.40660285949707]: Sent character data
[6.4236836433410645]: Sent character data
[6.441611051559448]: Sent character data
[6.459613084793091]: Sent character data
[6.475616216659546]: Sent character data
[6.492619752883911]: Sent character data
[6.509621858596802]: Sent character data
[6.525623798370361]: Sent character data
[6.541626930236816]: Sent character data
[6.55962872505188]: Sent character data
[6.575711250305176]: Sent character data
[6.591634273529053]: Sent character data
[6.608639478683472]: Sent character data
[6.625659465789795]: Sent character data
[6.6426451206207275]: Sent character data
[6.660646915435791]: Sent character data
[6.6756532192230225]: Sent character data
[6.693652868270874]: Sent character data
[6.710660696029663]: Sent character data
[6.72774076461792]: Sent character data
[6.744664192199707]: Sent character data
[6.761747598648071]: Sent character data
[6.778669118881226]: Sent character data
[6.79567289352417]: Sent character data
[6.81267786026001]: Sent character data
[6.8296825885772705]: Sent character data
[6.845685243606567]: Sent character data
[6.862687587738037]: Sent character data
[6.8796916007995605]: Sent character data
[6.896768569946289]: Sent character data
[6.913776397705078]: Sent character data
[6.930891752243042]: Sent character data
[6.948895454406738]: Sent character data
[6.965899467468262]: Sent character data
[6.981981992721558]: Sent character data
[6.999906301498413]: Sent character data
[7.015988111495972]: Sent character data
[7.032916784286499]: Sent character data
[7.049918174743652]: Sent character data
[7.066997051239014]: Sent character data
[7.084000110626221]: Sent character data
[7.100924491882324]: Sent character data
[7.117930889129639]: Sent character data
[7.135010719299316]: Sent character data
[7.152936697006226]: Sent character data
[7.169940710067749]: Sent character data
[7.184941530227661]: Sent character data
[7.201945066452026]: Sent character data
[7.219952583312988]: Sent character data
[7.235954523086548]: Sent character data
[7.253035545349121]: Sent character data
[7.269960403442383]: Sent character data
[7.287960767745972]: Sent character data
[7.304042816162109]: Sent character data
[7.320970296859741]: Sent character data
[7.337968349456787]: Sent character data
[7.355973958969116]: Sent character data
[7.3730552196502686]: Sent character data
[7.390982627868652]: Sent character data
[7.407062530517578]: Sent character data
[7.424066781997681]: Sent character data
[7.442072153091431]: Sent character data
[7.460995435714722]: Sent character data
[7.477995157241821]: Sent character data
[7.4950807094573975]: Sent character data
[7.51300311088562]: Sent character data
[7.531005382537842]: Sent character data
[7.548009157180786]: Sent character data
[7.565091371536255]: Sent character data
[7.583017349243164]: Sent character data
[7.600022077560425]: Sent character data
[7.617022752761841]: Sent character data
[7.63402533531189]: Sent character data
[7.6500327587127686]: Sent character data
[7.668032646179199]: Sent character data
[7.685116767883301]: Sent character data
[7.7021191120147705]: Sent character data
[7.71912407875061]: Sent character data
[7.737047433853149]: Sent character data
[7.7530517578125]: Sent character data
[7.771053075790405]: Sent character data
[7.788056373596191]: Sent character data
[7.806059122085571]: Sent character data
[7.82506537437439]: Sent character data
[7.843067169189453]: Sent character data
[7.862071752548218]: Sent character data
[7.878073453903198]: Sent character data
[7.896077394485474]: Sent character data
[7.912160873413086]: Sent character data
[7.929275989532471]: Sent character data
[7.946274757385254]: Sent character data
[7.963280439376831]: Sent character data
[7.980281829833984]: Sent character data
[7.997284412384033]: Sent character data
[8.014289617538452]: Sent character data
[8.03229546546936]: Sent character data
[8.049299240112305]: Sent character data
[8.066314458847046]: Sent character data
[8.082300424575806]: Sent character data
[8.099304676055908]: Sent character data
[8.116307735443115]: Sent character data
[8.133390665054321]: Sent character data
[8.150312900543213]: Sent character data
[8.167315483093262]: Sent character data
[8.18431830406189]: Sent character data
[8.201406002044678]: Sent character data
[8.219326496124268]: Sent character data
[8.235328435897827]: Sent character data
[8.252414464950562]: Sent character data
[8.269338369369507]: Sent character data
[8.287341117858887]: Sent character data
[8.303343057632446]: Sent character data
[8.32034683227539]: Sent character data
[8.337348461151123]: Sent character data
[8.355432033538818]: Sent character data
[8.371436595916748]: Sent character data
[8.389360666275024]: Sent character data
[8.405554056167603]: Sent character data
[8.42255687713623]: Sent character data
[8.439560413360596]: Sent character data
[8.456563711166382]: Sent character data
[8.474567890167236]: Sent character data
[8.490569353103638]: Sent character data
[8.50875973701477]: Sent character data
[8.525762557983398]: Sent character data
[8.541764497756958]: Sent character data
[8.559772729873657]: Sent character data
[8.575772523880005]: Sent character data
[8.59277606010437]: Sent character data
[8.610777139663696]: Sent character data
[8.626781940460205]: Sent character data
[8.644785642623901]: Sent character data
[8.661787748336792]: Sent character data
[8.677790880203247]: Sent character data
[8.695876121520996]: Sent character data
[8.712798595428467]: Sent character data
[8.728800535202026]: Sent character data
[8.74580454826355]: Sent character data
[8.762810230255127]: Sent character data
[8.78081226348877]: Sent character data
[8.796812772750854]: Sent character data
[8.814818620681763]: Sent character data
[8.83082127571106]: Sent character data
[8.848825454711914]: Sent character data
[8.864826917648315]: Sent character data
[8.881831169128418]: Sent character data
[8.898836374282837]: Sent character data
[8.91583800315857]: Sent character data
[8.932843446731567]: Sent character data
[8.949844598770142]: Sent character data
[8.966848134994507]: Sent character data
[8.98393177986145]: Sent character data
[9.000853776931763]: Sent character data
[9.017857313156128]: Sent character data
[9.034860610961914]: Sent character data
[9.052866458892822]: Sent character data
[9.06786584854126]: Sent character data
[9.084952116012573]: Sent character data
[9.101954936981201]: Sent character data
[9.11988115310669]: Sent character data
[9.136882781982422]: Sent character data
[9.152883768081665]: Sent character data
[9.16988730430603]: Sent character data
[9.18696641921997]: Sent character data
[9.203892707824707]: Sent character data
[9.221898555755615]: Sent character data
[9.237900495529175]: Sent character data
[9.254983901977539]: Sent character data
[9.272984504699707]: Sent character data
[9.289913177490234]: Sent character data
[9.305913925170898]: Sent character data
[9.322920560836792]: Sent character data
[9.340921878814697]: Sent character data
[9.355923891067505]: Sent character data
[9.373005867004395]: Sent character data
[9.389930009841919]: Sent character data
[9.407934188842773]: Sent character data
[9.424017429351807]: Sent character data
[9.441943168640137]: Sent character data
[9.459949016571045]: Sent character data
[9.474946022033691]: Sent character data
[9.492952108383179]: Sent character data
[9.509955644607544]: Sent character data
[9.52695608139038]: Sent character data
[9.542957544326782]: Sent character data
[9.561960458755493]: Sent character data
[9.576985836029053]: Sent character data
[9.592966794967651]: Sent character data
[9.611037969589233]: Sent character data
[9.627971410751343]: Sent character data
[9.645975828170776]: Sent character data
[9.661978244781494]: Sent character data
[9.679980993270874]: Sent character data
[9.695984601974487]: Sent character data
[9.712989330291748]: Sent character data
[9.729990482330322]: Sent character data
[9.748186349868774]: Sent character data
[9.765271425247192]: Sent character data
[9.781193494796753]: Sent character data
[9.79819655418396]: Sent character data
[9.816200971603394]: Sent character data
[9.832202911376953]: Sent character data
[9.85020923614502]: Sent character data
[9.867209672927856]: Sent character data
[9.883292198181152]: Sent character data
[9.901220321655273]: Sent character data
[9.917264223098755]: Sent character data
[9.93528151512146]: Sent character data
[9.952227115631104]: Sent character data
[9.969230651855469]: Sent character data
[9.985235452651978]: Sent character data
[10.002237796783447]: Sent character data
[10.019239902496338]: Sent character data
[10.036243438720703]: Sent character data
[10.053327322006226]: Sent character data
[10.071521520614624]: Sent character data
[10.08744215965271]: Sent character data
[10.104447364807129]: Sent character data
[10.122452735900879]: Sent character data
[10.139455556869507]: Sent character data
[10.154456853866577]: Sent character data
[10.171540975570679]: Sent character data
[10.189467191696167]: Sent character data
[10.206468105316162]: Sent character data
[10.222551345825195]: Sent character data
[10.239474296569824]: Sent character data
[10.2574782371521]: Sent character data
[10.274480819702148]: Sent character data
[10.291484117507935]: Sent character data
[10.307486772537231]: Sent character data
[10.324490070343018]: Sent character data
[10.341575384140015]: Sent character data
[10.359502077102661]: Sent character data
[10.37650179862976]: Sent character data
[10.39250135421753]: Sent character data
[10.410504341125488]: Sent character data
[10.42750859260559]: Sent character data
[10.44451355934143]: Sent character data
[10.46151614189148]: Sent character data
[10.478599548339844]: Sent character data
[10.495941162109375]: Sent character data
[10.512025356292725]: Sent character data
[10.529028415679932]: Sent character data
[10.546953439712524]: Sent character data
[10.563035249710083]: Sent character data
[10.57995867729187]: Sent character data
[10.596885442733765]: Sent character data
[10.61388897895813]: Sent character data
[10.631895780563354]: Sent character data
[10.647977828979492]: Sent character data
[10.665982007980347]: Sent character data
[10.68190312385559]: Sent character data
[10.69890809059143]: Sent character data
[10.7159104347229]: Sent character data
[10.732913255691528]: Sent character data
[10.749917030334473]: Sent character data
[10.766920566558838]: Sent character data
[10.784924030303955]: Sent character data
[10.799928188323975]: Sent character data
[10.81692910194397]: Sent character data
[10.833932161331177]: Sent character data
[10.850934982299805]: Sent character data
[10.868940353393555]: Sent character data
[10.883941650390625]: Sent character data
[10.90102505683899]: Sent character data
[10.917949438095093]: Sent character data
[10.9349524974823]: Sent character data
[10.951954126358032]: Sent character data
[10.969962120056152]: Sent character data
[10.985960960388184]: Sent character data
[11.002964973449707]: Sent character data
[11.01996898651123]: Sent character data
[11.036972045898438]: Sent character data
[11.05397629737854]: Sent character data
[11.070978164672852]: Sent character data
[11.087981700897217]: Sent character data
[11.10498571395874]: Sent character data
[11.122989654541016]: Sent character data
[11.139995098114014]: Sent character data
[11.157076597213745]: Sent character data
[11.172998905181885]: Sent character data
[11.191084861755371]: Sent character data
[11.20800518989563]: Sent character data
[11.226011276245117]: Sent character data
[11.243014812469482]: Sent character data
[11.261029243469238]: Sent character data
[11.277017831802368]: Sent character data
[11.295103549957275]: Sent character data
[11.312107563018799]: Sent character data
[11.329030275344849]: Sent character data
[11.34603238105774]: Sent character data
[11.36313271522522]: Sent character data
[11.37904143333435]: Sent character data
[11.396055221557617]: Sent character data
